age,car,carcat,empcat,jobsat
55,36.2,Luxury,More than 15,Highly satisfied
56,76.9,Luxury,More than 15,Somewhat satisfied
28,13.700000000000001,Economy,Less than 5,Neutral
24,12.5,Economy,Less than 5,Highly dissatisfied
25,11.3,Economy,5 to 15,Somewhat dissatisfied
45,37.2,Luxury,5 to 15,Somewhat dissatisfied
42,19.8,Standard,5 to 15,Somewhat dissatisfied
35,28.200000000000003,Standard,Less than 5,Highly dissatisfied
46,12.200000000000001,Economy,5 to 15,Highly satisfied
34,46.1,Luxury,5 to 15,Somewhat satisfied
55,35.5,Luxury,Less than 5,Neutral
28,11.8,Economy,Less than 5,Highly satisfied
31,21.3,Standard,Less than 5,Somewhat dissatisfied
42,68.9,Luxury,Less than 5,Highly dissatisfied
35,34.1,Luxury,5 to 15,Somewhat satisfied
52,78.9,Luxury,More than 15,Highly satisfied
21,18.6,Standard,Less than 5,Highly dissatisfied
32,13.700000000000001,Economy,Less than 5,Somewhat satisfied
42,54.7,Luxury,More than 15,Neutral
40,58.300000000000004,Luxury,More than 15,Highly satisfied
30,11.8,Economy,Less than 5,Neutral
48,9.5,Economy,Less than 5,Neutral
39,8.5,Economy,Less than 5,Neutral
42,16.6,Standard,5 to 15,Neutral
45,57.400000000000006,Luxury,More than 15,Somewhat satisfied
51,23,Standard,5 to 15,Neutral
39,16.3,Standard,Less than 5,Highly dissatisfied
49,68.4,Luxury,5 to 15,Highly satisfied
52,74.9,Luxury,More than 15,Highly satisfied
53,19.900000000000002,Standard,5 to 15,Somewhat satisfied
34,10,Economy,Less than 5,Highly dissatisfied
47,11.4,Economy,5 to 15,Somewhat satisfied
58,29.700000000000003,Standard,Less than 5,Highly dissatisfied
25,28.400000000000002,Standard,Less than 5,Somewhat dissatisfied
57,45.5,Luxury,More than 15,Highly satisfied
30,10.5,Economy,Less than 5,Highly dissatisfied
21,6.300000000000001,Economy,Less than 5,Highly dissatisfied
24,11.8,Economy,Less than 5,Neutral
56,81.7,Luxury,More than 15,Somewhat satisfied
24,9.600000000000001,Economy,Less than 5,Neutral
41,28.6,Standard,More than 15,Neutral
57,82.8,Luxury,More than 15,Somewhat dissatisfied
32,15.700000000000001,Standard,5 to 15,Highly satisfied
24,17.400000000000002,Standard,Less than 5,Somewhat dissatisfied
49,17.3,Standard,Less than 5,Neutral
21,11,Economy,Less than 5,Highly dissatisfied
33,19.400000000000002,Standard,5 to 15,Somewhat dissatisfied
56,67.2,Luxury,More than 15,Neutral
54,51.2,Luxury,More than 15,Somewhat dissatisfied
44,75.2,Luxury,5 to 15,Neutral
20,9.5,Economy,Less than 5,Somewhat dissatisfied
47,59.800000000000004,Luxury,More than 15,Highly satisfied
48,38,Luxury,More than 15,Somewhat satisfied
25,33.5,Luxury,Less than 5,Somewhat dissatisfied
52,13.4,Economy,5 to 15,Somewhat dissatisfied
38,9.200000000000001,Economy,Less than 5,Highly dissatisfied
65,10.100000000000001,Economy,5 to 15,Neutral
28,15.600000000000001,Standard,Less than 5,Neutral
51,25.5,Standard,5 to 15,Neutral
61,41.5,Luxury,More than 15,Neutral
46,66.60000000000001,Luxury,More than 15,Highly satisfied
43,54.6,Luxury,More than 15,Neutral
28,12.5,Economy,Less than 5,Somewhat dissatisfied
39,28.6,Standard,5 to 15,Somewhat dissatisfied
37,11.3,Economy,5 to 15,Highly dissatisfied
59,15.9,Standard,Less than 5,Highly dissatisfied
55,31.5,Luxury,5 to 15,Somewhat satisfied
51,35.6,Luxury,5 to 15,Neutral
48,65.9,Luxury,5 to 15,Somewhat satisfied
