age,marital,address,income,inccat,ed,employ,retire,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
55,Married,12,72,$50 - $74,Did not complete high school,23,No,Female,4,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
56,Unmarried,29,153,$75+,Did not complete high school,35,No,Male,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
28,Married,9,28,$25 - $49,Some college,4,No,Female,3,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
24,Married,4,26,$25 - $49,College degree,0,No,Male,3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
25,Unmarried,2,23,Under $25,High school degree,5,No,Male,2,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
45,Married,9,76,$75+,Some college,13,No,Male,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
42,Unmarried,19,40,$25 - $49,Some college,10,No,Male,1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
35,Unmarried,15,57,$50 - $74,High school degree,1,No,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
46,Unmarried,26,24,Under $25,Did not complete high school,11,No,Female,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
34,Married,0,89,$75+,Some college,12,No,Male,6,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
55,Married,17,72,$50 - $74,Some college,2,No,Female,2,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
28,Unmarried,3,24,Under $25,College degree,4,No,Male,1,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
31,Married,9,40,$25 - $49,College degree,0,No,Female,4,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
42,Unmarried,8,137,$75+,Some college,3,No,Female,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
35,Unmarried,8,70,$50 - $74,Some college,9,No,Male,3,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
52,Married,24,159,$75+,College degree,16,No,Male,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
21,Married,1,37,$25 - $49,Some college,0,No,Male,7,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
32,Unmarried,0,28,$25 - $49,Did not complete high school,2,No,Female,2,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
42,Unmarried,9,109,$75+,Some college,20,No,Female,1,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
40,Married,12,117,$75+,High school degree,19,No,Female,4,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
30,Unmarried,3,23,Under $25,Did not complete high school,3,No,Male,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
48,Unmarried,14,21,Under $25,Some college,2,No,Male,1,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
39,Married,17,17,Under $25,College degree,2,No,Male,5,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
42,Married,5,34,$25 - $49,High school degree,13,No,Female,4,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
45,Married,12,115,$75+,Did not complete high school,27,No,Female,5,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
